,gen,gene_name,description,te_family_suzukii,te_class_suzukii
1210,CG8230,cg8230,,nf_10_TIR_1,DNA/DNA
1211,CG33199,cg33199,,nf_10_TIR_1,DNA/DNA
1212,CG8229,cg8229,,nf_10_TIR_1,DNA/DNA
1213,CG8226,tom7,Translocase of outer membrane,nf_176_LINE_1,LINE/R1
1214,CG8224,babo,,nf_176_LINE_1,LINE/R1
1215,CG8216,spab,space,nf_381_TIR_1,DNA/DNA
1216,CG8332,rps15,Ribosomal protein,nf_294_TIR_1,DNA/DNA
1217,CG4945,cg4945,,nf_294_TIR_1,DNA/DNA
1218,CG11906,cg11906,,nf_294_TIR_1,DNA/DNA
1219,CR44432,lncrna:cr44432,long non-coding,nf_100_I_1,LINE/I
1220,CG7225,wbl,,nf_100_I_1,LINE/I
1221,CG11949,cora,,nf_23_HELITRON_1,DNA/RC
1222,CG7137,cg7137,,nf_23_HELITRON_1,DNA/RC
1223,CG7097,hppy,,nf_23_HELITRON_1,DNA/RC
1224,CG10737,cg10737,,nf_23_HELITRON_1,DNA/RC
1225,CG15111,cg15111,,nf_23_HELITRON_1,DNA/RC
1226,CG15118,cg15118,,nf_23_HELITRON_1,DNA/RC
1227,CG15110,botv,brother of,nf_23_HELITRON_1,DNA/RC
1228,CG15117,cg15117,,nf_23_HELITRON_1,DNA/RC
1229,CG16720,5-ht1a,5-hydroxytryptamine (serotonin) receptor,nf_26_COPIA_1,LTR/COPIA
1230,CG15109,cg15109,,nf_381_TIR_1,DNA/DNA
1231,CG15116,gpxl,Glutathione,nf_381_TIR_1,DNA/DNA
1232,CG15113,5-ht1b,5-hydroxytryptamine (serotonin) receptor,nf_81_I_1,LINE/I
1233,CG15105,tn,,nf_381_TIR_1,DNA/DNA
1234,CR43588,snorna:abba-a,,nf_381_TIR_1,DNA/DNA
1235,CG15099,cg15099,,nf_185_TIR_2,DNA/DNA
1236,CG15083,cg15083,,nf_185_TIR_2,DNA/DNA
1237,CG15098,cg15098,,nf_185_TIR_2,DNA/DNA
1238,CG15082,cg15082,,nf_185_TIR_2,DNA/DNA
1239,CG15097,cg15097,,nf_185_TIR_2,DNA/DNA
1240,CG15081,phb2,Prohibitin,nf_85_I_1,LINE/I
1241,CR46234,lncrna:cr46234,long non-coding,nf_185_TIR_2,DNA/DNA
1242,CR43418,lncrna:cr43418,long non-coding,nf_185_TIR_2,DNA/DNA
1243,CG15096,cg15096,,nf_185_TIR_2,DNA/DNA
1244,CG15078,mctp,Multiple C2 domain and transmembrane region,nf_10_TIR_1,DNA/DNA
1245,CR30229,trna:leu-aag-1-4,,nf_10_TIR_1,DNA/DNA
1246,CG42351,jabba,,nf_10_TIR_1,DNA/DNA
1247,CG15077,cyp12b2,Cytochrome P450,nf_10_TIR_1,DNA/DNA
1248,CG33147,hs3st-a,Heparan sulfate 3-O,nf_10_TIR_1,DNA/DNA
1249,CG18609,cg18609,,nf_23_HELITRON_1,DNA/RC
1250,CR30121,lncrna:cr30121,long non-coding,nf_23_HELITRON_1,DNA/RC
1251,CG15088,list,Lithium-inducible SLC6,nf_138_GYPSY_1,LTR/GYPSY
1252,CR33942,lncrna:cr33942,,nf_378_TIR_1,DNA/DNA
1253,CR45141,asrna:cr45141,antisense,nf_358_MITE_1,DNA/MITE
1254,CG3830,vg,,nf_380_TIR_1,DNA/DNA
1255,CR46237,lncrna:cr46237,long non-coding,nf_23_HELITRON_1,DNA/RC
1256,CR46336,lncrna:cr46336,,nf_23_HELITRON_1,DNA/RC
1257,CR46337,lncrna:cr46337,,nf_23_HELITRON_1,DNA/RC
1258,CR44461,lncrna:cr44461,long non-coding,nf_23_HELITRON_1,DNA/RC
1259,CG3845,nat1,,nf_10_TIR_1,DNA/DNA
1260,CG13319,cg13319,,nf_369_LTR_1,LTR/LTR
1261,CG3850,sug,,nf_23_HELITRON_1,DNA/RC
1262,CG17019,cg17019,,nf_23_HELITRON_1,DNA/RC
1263,CG13322,sccro3,Squamous cell carcinoma-related oncogene,nf_23_HELITRON_1,DNA/RC
1264,CG13320,sans,Scaffold protein containing ankyrin repeats and SAM,nf_23_HELITRON_1,DNA/RC
1265,CG3879,mdr49,Multi drug resistance,nf_23_HELITRON_1,DNA/RC
1266,CG44251,cg44251,,nf_10_TIR_1,DNA/DNA
1267,CG44250,cg44250,,nf_10_TIR_1,DNA/DNA
1268,CG13321,cg13321,,nf_10_TIR_1,DNA/DNA
1269,CG3886,psc,Posterior sex,nf_379_LINE_1,LINE/LINE
1270,CG8299,cg8299,,nf_369_LTR_1,LTR/LTR
1271,CG30093,cox6al,Cytochrome c oxidase subunit,nf_25_CR1_1,LINE/CR1
1272,CG8302,cyp4aa1,Cytochrome P450,nf_25_CR1_1,LINE/CR1
1273,CG44162,strn-mlck,,nf_25_CR1_1,LINE/CR1
1274,CR45021,lncrna:cr45021,long non-coding,nf_328_P_1,DNA/P
1275,CG8314,cg8314,,nf_328_P_1,DNA/P
1276,CG8315,pex11ab,Peroxin,nf_328_P_1,DNA/P
1277,CG8320,cg8320,,nf_328_P_1,DNA/P
1278,CG8322,atpcl,ATP citrate,nf_328_P_1,DNA/P
1279,CG8370,tmem131,Transmembrane protein,nf_369_LTR_1,LTR/LTR
1280,CG8386,ufc1,Ubiquitin-fold modifier conjugating enzyme,nf_369_LTR_1,LTR/LTR
1281,CG8388,cg8388,,nf_369_LTR_1,LTR/LTR
1282,CG10916,cg10916,,nf_369_LTR_1,LTR/LTR
1283,CG5726,cg5726,,nf_369_LTR_1,LTR/LTR
1284,CG5140,nopo,no,nf_369_LTR_1,LTR/LTR
1285,CG33958,cg33958,,nf_23_HELITRON_1,DNA/RC
1286,CG14499,cg14499,,nf_23_HELITRON_1,DNA/RC
1287,CG30114,cg30114,,nf_10_TIR_1,DNA/DNA
1288,CR45147,lncrna:cr45147,long non-coding,nf_10_TIR_1,DNA/DNA
1289,CR44421,lncrna:cr44421,long non-coding,nf_378_TIR_1,DNA/DNA
1290,CG18536,cg18536,,nf_378_TIR_1,DNA/DNA
1291,CG18537,cg18537,,nf_378_TIR_1,DNA/DNA
1292,CG18539,cg18539,,nf_378_TIR_1,DNA/DNA
1293,CG14505,cg14505,,nf_11_MAVERICK_1,DNA/Maverick
1294,CG14503,tango8,Transport and Golgi organization,nf_10_TIR_1,DNA/DNA
1295,CG15066,bombc1,Bomanin Bicipital,nf_10_TIR_1,DNA/DNA
1296,CG18108,boms1,Bomanin Short,nf_47_GYPSY_1,LTR/GYPSY
1297,CG16844,boms3,Bomanin Short,nf_47_GYPSY_1,LTR/GYPSY
1298,CG5154,idgf5,Imaginal disc growth factor,nf_116_TIR_1,DNA/CMC
1299,CG17522,gste10,Glutathione S transferase,nf_23_HELITRON_1,DNA/RC
1300,CG5164,gste1,Glutathione S transferase,nf_23_HELITRON_1,DNA/RC
1301,CG17524,gste3,Glutathione S transferase,nf_11_MAVERICK_1,DNA/Maverick
1302,CG17525,gste4,Glutathione S transferase,nf_11_MAVERICK_1,DNA/Maverick
1303,CG17530,gste6,Glutathione S transferase,nf_185_TIR_2,DNA/DNA
1304,CG17531,gste7,Glutathione S transferase,nf_185_TIR_2,DNA/DNA
1305,CG17534,gste9,Glutathione S transferase,nf_47_GYPSY_1,LTR/GYPSY
1306,CG5576,imd,immune,nf_47_GYPSY_1,LTR/GYPSY
1307,CG5170,dp1,Dodeca-satellite-binding protein,nf_47_GYPSY_1,LTR/GYPSY
1308,CG30118,ttd14,TRPL translocation defect,nf_23_HELITRON_1,DNA/RC
1309,CG5186,slim,scruin like at the,nf_23_HELITRON_1,DNA/RC
1310,CG30120,cg30120,dicistronic,nf_23_HELITRON_1,DNA/RC
1311,CG5189,lamtor2,Late endosomal/lysosomal adaptor%2C MAPK and MTOR activator,nf_23_HELITRON_1,DNA/RC
1312,CG5519,prp19,Pre-RNA processing factor,nf_23_HELITRON_1,DNA/RC
1313,CG5190,rswl,,nf_23_HELITRON_1,DNA/RC
1314,CG17669,dnaaf3,Dynein axonemal assembly factor,nf_23_HELITRON_1,DNA/RC
1315,CG43066,cg43066,,nf_10_TIR_1,DNA/DNA
1316,CG10924,pepck2,Phosphoenolpyruvate carboxykinase,nf_381_TIR_1,DNA/DNA
1317,CG17725,pepck1,Phosphoenolpyruvate carboxykinase,nf_10_TIR_1,DNA/DNA
1318,CG45087,cg45087,dicistronic,nf_10_TIR_1,DNA/DNA
1319,CG34390,rgk2,Rad%2C Gem/Kir family member,nf_10_TIR_1,DNA/DNA
1320,CR46271,lncrna:cr46271,long non-coding,nf_10_TIR_1,DNA/DNA
1321,CG42697,cg42697,,Gypsy-30_DWil-I_1,LTR/GYPSY
1322,CG10927,cg10927,,Gypsy-30_DWil-I_1,LTR/GYPSY
1323,CG5497,mrps28,mitochondrial ribosomal protein,Gypsy-30_DWil-I_1,LTR/GYPSY
1324,CG5323,cg5323,,Gypsy-30_DWil-I_1,LTR/GYPSY
1325,CG5327,cg5327,,Gypsy-30_DWil-I_1,LTR/GYPSY
1326,CG5493,cg5493,,Gypsy-30_DWil-I_1,LTR/GYPSY
1327,CG5489,atg7,Autophagy-related,Gypsy-30_DWil-I_1,LTR/GYPSY
1328,CG5335,cg5335,,Gypsy-30_DWil-I_1,LTR/GYPSY
1329,CG5341,sec6,Secretory,nf_369_LTR_1,LTR/LTR
1330,CG5345,cth,Cystathionine,nf_369_LTR_1,LTR/LTR
1331,CG5482,zda,,nf_369_LTR_1,LTR/LTR
1332,CG2093,vps13,Vacuolar protein sorting,nf_23_HELITRON_1,DNA/RC
1333,CR45130,asrna:cr45130,antisense,nf_23_HELITRON_1,DNA/RC
1334,CG30498,boca,,nf_23_HELITRON_1,DNA/RC
1335,CG30499,rpe,,nf_23_HELITRON_1,DNA/RC
1336,CG1598,cg1598,,nf_26_COPIA_1,LTR/COPIA
1337,CG2137,gpo2,Glycerophosphate oxidase,nf_26_COPIA_1,LTR/COPIA
1338,CG2140,cyt-b5,Cytochrome,nf_26_COPIA_1,LTR/COPIA
1339,CG1600,drat,Death resistor Adh domain containing,nf_23_HELITRON_1,DNA/RC
1340,CG42396,wech,,nf_309_CR1_1,LINE/CR1
1341,CG11140,aldh-iii,Aldehyde dehydrogenase type,nf_309_CR1_1,LINE/CR1
1342,CG11139,p47,,nf_371_TIR_2,DNA/DNA
1343,CR44202,lncrna:cr44202,long non-coding,nf_10_TIR_1,DNA/DNA
1344,CG17800,dscam1,Down syndrome cell adhesion molecule,nf_210_CR1_1,LINE/CR1
1345,CG12164,cg12164,,nf_23_HELITRON_1,DNA/RC
1346,CG11101,pwn,,nf_120_L2_1,LINE/L2
1347,CG12831,cg12831,,nf_105_PIFHARBINGER_1,DNA/PIFHARBINGER
1348,CR30299,trna:thr-agt-1-2,,nf_105_PIFHARBINGER_1,DNA/PIFHARBINGER
1349,CR30298,trna:thr-agt-2-1,,nf_105_PIFHARBINGER_1,DNA/PIFHARBINGER
1350,CG12836,cg12836,,nf_105_PIFHARBINGER_1,DNA/PIFHARBINGER
1351,CG30015,cg30015,,nf_85_I_1,LINE/I
1352,CR43605,lncrna:cr43605,long non-coding,Mariner-1_DF,DNA/TC1MARINER
1353,CG7614,mat1,Menage a trois,nf_381_TIR_1,DNA/DNA
1354,CG7220,cg7220,,nf_381_TIR_1,DNA/DNA
1355,CR46278,lncrna:acal,,nf_10_TIR_1,DNA/DNA
1356,CR45135,asrna:cr45135,antisense,I-6_DBp,LINE/I
1357,CG12891,whd,,nf_381_TIR_1,DNA/DNA
1358,CG11777,cg11777,,nf_381_TIR_1,DNA/DNA
1359,CG12892,caf1-105,Chromatin assembly factor 1%2C p105,nf_381_TIR_1,DNA/DNA
1360,CG2204,galphao,G protein alpha subunit,nf_381_TIR_1,DNA/DNA
1361,CG18377,cyp49a1,Cytochrome P450,nf_381_TIR_1,DNA/DNA
1362,CG12898,cg12898,,nf_381_TIR_1,DNA/DNA
1363,CG12900,ir47a,Ionotropic receptor,nf_328_P_1,DNA/P
1364,CG12906,gr47a,Gustatory receptor,nf_381_TIR_1,DNA/DNA
1365,CG46298,cg46298,,nf_381_TIR_1,DNA/DNA
1366,CG12908,ndg,,nf_328_P_1,DNA/P
1367,CG34222,cg34222,,nf_328_P_1,DNA/P
1368,CG12910,cg12910,,nf_293_I_2,LINE/I
1369,CR30009,lncrna:cr30009,,nf_293_I_2,LINE/I
1370,CG12911,cg12911,,nf_293_I_2,LINE/I
1371,CR46322,lncrna:cr46322,long non-coding,nf_10_TIR_1,DNA/DNA
1372,CG34221,cg34221,,nf_10_TIR_1,DNA/DNA
1373,CG12214,mlt,,nf_10_TIR_1,DNA/DNA
1374,CR45133,asrna:cr45133,antisense,nf_23_HELITRON_1,DNA/RC
1375,CG18011,cg18011,,nf_23_HELITRON_1,DNA/RC
1376,CG33478,or46a,Odorant receptor,nf_23_HELITRON_1,DNA/RC
1377,CR43467,asrna:cr43467,antisense,nf_23_HELITRON_1,DNA/RC
1378,CG12917,cg12917,,nf_23_HELITRON_1,DNA/RC
1379,CG2269,cg2269,,nf_18_LTR_1,LTR/GYPSY
1380,CG1380,sut4,sugar transporter,nf_18_LTR_1,LTR/GYPSY
1381,CG12919,egr,,nf_18_LTR_1,LTR/GYPSY
1382,CG12920,cg12920,,nf_378_TIR_1,DNA/DNA
1383,CG1362,cdc2rk,Cdc2-related,nf_378_TIR_1,DNA/DNA
1384,CG12921,mrpl42,mitochondrial ribosomal protein,nf_378_TIR_1,DNA/DNA
1385,CG2292,pig-n,Phosphatidylinositol glycan anchor biosynthesis class,nf_378_TIR_1,DNA/DNA
1386,CG2264,magu,,nf_378_TIR_1,DNA/DNA
1387,CR44297,asrna:cr44297,antisense,nf_378_TIR_1,DNA/DNA
1388,CG12918,sel,,nf_378_TIR_1,DNA/DNA
1389,CG9025,fem-1,,nf_378_TIR_1,DNA/DNA
1390,CG13437,cg13437,,nf_378_TIR_1,DNA/DNA
1391,CG11136,lrt,Leucine-rich tendon-specific,nf_378_TIR_1,DNA/DNA
1392,CG11159,cg11159,,nf_378_TIR_1,DNA/DNA
1393,CG16799,cg16799,,nf_378_TIR_1,DNA/DNA
1394,CG9401,mago,mago,nf_91_LINE_1,LINE/JOCKEY
1395,CG4050,tmtc3,Transmembrane O-mannosyltransferase targeting cadherins,nf_91_LINE_1,LINE/JOCKEY
1396,CG9398,ktub,king,nf_91_LINE_1,LINE/JOCKEY
1397,CG9394,cg9394,,nf_143_GYPSY_2,LTR/GYPSY
1398,CG9313,cg9313,,nf_381_TIR_1,DNA/DNA
1399,CG15650,cg15650,,nf_381_TIR_1,DNA/DNA
1400,CG9344,cg9344,,nf_381_TIR_1,DNA/DNA
1401,CG34115,cg34115,,nf_381_TIR_1,DNA/DNA
1402,CG15649,cg15649,,nf_381_TIR_1,DNA/DNA
1403,CG10036,otp,,nf_11_MAVERICK_1,DNA/Maverick
1404,CG9236,cib2,Calcium and integrin binding family member,nf_11_MAVERICK_1,DNA/Maverick
1405,CG30295,ipk1,Inositol phosphate kinase,nf_11_MAVERICK_1,DNA/Maverick
1406,CG11312,insc,,nf_381_TIR_1,DNA/DNA
1407,CR44660,lncrna:cr44660,long non-coding,nf_108_LINE_1,LINE/CR1
1408,CR45106,trna:thr-tgt-2-3,,nf_378_TIR_1,DNA/DNA
1409,CR45107,trna:thr-tgt-2-4,,nf_378_TIR_1,DNA/DNA
1410,CG30023,sprt,,nf_378_TIR_1,DNA/DNA
1411,CR31432,trna:thr-tgt-2-5,,nf_378_TIR_1,DNA/DNA
1412,CG30022,cg30022,,nf_378_TIR_1,DNA/DNA
1413,CG13209,sha,,nf_291_TIR_1,DNA/HAT
1414,CG13206,or47b,Odorant receptor,nf_291_TIR_1,DNA/HAT
1415,CG3221,dgt3,dim gamma-tubulin,nf_23_HELITRON_1,DNA/RC
1416,CG13222,cpr47ee,Cuticular protein,nf_23_HELITRON_1,DNA/RC
1417,CG9076,cpr47ed,Cuticular protein,nf_23_HELITRON_1,DNA/RC
1418,CG9077,cpr47ec,Cuticular protein,nf_23_HELITRON_1,DNA/RC
1419,CG13217,cg13217,,nf_10_TIR_1,DNA/DNA
1420,CG34223,cg34223,,nf_10_TIR_1,DNA/DNA
1421,CG13227,cg13227,,nf_10_TIR_1,DNA/DNA
1422,CG13228,cg13228,,nf_10_TIR_1,DNA/DNA
1423,CG30021,metro,menage a,nf_10_TIR_1,DNA/DNA
1424,CG7737,cg7737,,nf_10_TIR_1,DNA/DNA
1425,CG8836,cpr49ad,Cuticular protein,nf_360_HELITRON_1,DNA/RC
1426,CG42700,cg42700,,nf_369_LTR_1,LTR/LTR
1427,CR44313,lncrna:cr44313,long non-coding,nf_253_TIR_1,DNA/DNA
1428,CG8856,sr-cii,Scavenger receptor class C%2C type,nf_10_TIR_1,DNA/DNA
1429,CR45276,lncrna:cr45276,long non-coding,nf_322_TIR_1,DNA/CMC
1430,CG8857,rps11,Ribosomal protein,nf_322_TIR_1,DNA/CMC
1431,CR34152,snorna:me28s-c3420a,,nf_322_TIR_1,DNA/CMC
1432,CR34153,snorna:me28s-c3420b,,nf_322_TIR_1,DNA/CMC
1433,CG10212,smc2,Structural maintenance of chromosomes,nf_26_COPIA_1,LTR/COPIA
1434,CG10209,cg10209,,nf_26_COPIA_1,LTR/COPIA
1435,CG10207,napi-t,Na[+]-dependent inorganic phosphate,nf_26_COPIA_1,LTR/COPIA
1436,CR45329,lncrna:cr45329,long non-coding,nf_10_TIR_1,DNA/DNA
1437,CG10202,pgm2b,Phosphoglucomutase,nf_10_TIR_1,DNA/DNA
1438,CG10200,hui,hase und,nf_378_TIR_1,DNA/DNA
1439,CG10155,spred,Sprouty-related protein with EVH-1,nf_285_TIR_1,DNA/TC1MARINER
1440,CG10153,trs31,TRAPP subunit,nf_285_TIR_1,DNA/TC1MARINER
1441,CG12859,nd-b15,NADH dehydrogenase (ubiquinone) B15,nf_285_TIR_1,DNA/TC1MARINER
1442,CG10151,cg10151,,nf_285_TIR_1,DNA/TC1MARINER
1443,CG30476,ave,,nf_285_TIR_1,DNA/TC1MARINER
1444,CG10149,rpn6,Regulatory particle non-ATPase,nf_285_TIR_1,DNA/TC1MARINER
1445,CG10146,atta,,nf_285_TIR_1,DNA/TC1MARINER
1446,CG18372,attb,,nf_285_TIR_1,DNA/TC1MARINER
1447,CG10816,dro,,nf_285_TIR_1,DNA/TC1MARINER
1448,CG12858,jef,jet,nf_285_TIR_1,DNA/TC1MARINER
1449,CG43428,cg43428,,nf_381_TIR_1,DNA/DNA
1450,CG10145,mspo,,nf_253_TIR_1,DNA/DNA
1451,CG30479,cg30479,dicistronic,nf_253_TIR_1,DNA/DNA
1452,CG30480,cg30480,dicistronic,nf_253_TIR_1,DNA/DNA
1453,CG10139,cg10139,,nf_23_HELITRON_1,DNA/RC
1454,CG17385,cg17385,,I-6_DBp,LINE/I
1455,CG13939,obp50e,Odorant-binding protein,nf_369_LTR_1,LTR/LTR
1456,CG30072,obp50c,Odorant-binding protein,nf_369_LTR_1,LTR/LTR
1457,CG30073,obp50b,Odorant-binding protein,nf_369_LTR_1,LTR/LTR
1458,CG30067,obp50a,Odorant-binding protein,nf_369_LTR_1,LTR/LTR
1459,CG34444,cg34444,,nf_369_LTR_1,LTR/LTR
1460,CG34443,cg34443,,nf_369_LTR_1,LTR/LTR
1461,CG34442,cg34442,,nf_369_LTR_1,LTR/LTR
1462,CG8542,hsc70-5,Heat shock protein 70 cognate,nf_215_TIR_1,DNA/TC1MARINER
1463,CG8523,mdr50,Multi drug resistance,nf_215_TIR_1,DNA/TC1MARINER
1464,CG8503,smyda-1,SET and MYND domain containing%2C arthropod-specific%2C member,nf_215_TIR_1,DNA/TC1MARINER
1465,CG8494,usp20-33,Ubiquitin specific protease,nf_215_TIR_1,DNA/TC1MARINER
1466,CG8485,snrk,SNF related,nf_215_TIR_1,DNA/TC1MARINER
1467,CG30069,sdb,SAXO downstream of,nf_11_MAVERICK_1,DNA/Maverick
1468,CG8367,cg,,nf_11_MAVERICK_1,DNA/Maverick
1469,CG8338,mrps16,mitochondrial ribosomal protein,P-1_DRh_inc_1,DNA/P
1470,CG8331,reepb,Receptor expression enhancing protein,P-1_DRh_inc_1,DNA/P
1471,CR44368,asrna:cr44368,antisense,P-1_DRh_inc_1,DNA/P
1472,CG18324,cg18324,,P-1_DRh_inc_1,DNA/P
1473,CG18327,cg18327,,P-1_DRh_inc_1,DNA/P
1474,CG8323,cg8323,,P-1_DRh_inc_1,DNA/P
1475,CG8309,eif3m,eukaryotic translation initiation factor 3 subunit,P-1_DRh_inc_1,DNA/P
1476,CG12366,o-fut1,O-fucosyltransferase,P-1_DRh_inc_1,DNA/P
1477,CG8257,cysrs-m,Cysteinyl-tRNA synthetase%2C,P-1_DRh_inc_1,DNA/P
1478,CG4007,nrk,Neurospecific receptor,nf_23_HELITRON_1,DNA/RC
1479,CG15870,cg15870,,nf_23_HELITRON_1,DNA/RC
1480,CG4604,glaz,Glial,nf_23_HELITRON_1,DNA/RC
1481,CR43771,lncrna:cr43771,long non-coding,nf_23_HELITRON_1,DNA/RC
1482,CG33472,qvr,,nf_25_CR1_1,LINE/CR1
1483,CR32844,trna:met-cat-1-2,,nf_378_TIR_1,DNA/DNA
1484,CG13196,cg13196,,nf_80_I_1,LINE/I
1485,CG8996,wal,,nf_378_TIR_1,DNA/DNA
1486,CG13194,pyr,,Kiri-6_DTa,LINE/L2
1487,CG12443,ths,,nf_130_R1_2,LINE/R1
1488,CG13192,cg13192,,nf_10_TIR_1,DNA/DNA
1489,CG8991,sobp,Sine oculis-binding,nf_10_TIR_1,DNA/DNA
1490,CG34229,cg34229,,nf_29_LTR_1,LTR/LTR
1491,CG8988,s2p,site-2,nf_29_LTR_1,LTR/LTR
1492,CG8271,sln,,nf_29_LTR_1,LTR/LTR
1493,CG8274,mgtor,,nf_381_TIR_1,DNA/DNA
1494,CG13183,reb,,nf_205_CR1_2,LINE/CR1
1495,CR44305,lncrna:cr44305,long non-coding,nf_205_CR1_2,LINE/CR1
1496,CR44312,lncrna:cr44312,long non-coding,nf_10_TIR_1,DNA/DNA
1497,CG13188,exp,,nf_10_TIR_1,DNA/DNA
1498,CG8344,polr3b,RNA polymerase III subunit,nf_381_TIR_1,DNA/DNA
1499,CG8357,drep1,DNA fragmentation factor-related protein,nf_381_TIR_1,DNA/DNA
1500,CG44314,cg44314,,nf_381_TIR_1,DNA/DNA
1501,CG8364,drep3,DNA fragmentation factor-related protein,nf_381_TIR_1,DNA/DNA
1502,CG8888,cg8888,,nf_360_HELITRON_1,DNA/RC
1503,CG16747,oda,Ornithine decarboxylase,nf_138_GYPSY_1,LTR/GYPSY
1504,CG8427,smd3,Small ribonucleoprotein particle protein,nf_138_GYPSY_1,LTR/GYPSY
1505,CR46194,asrna:cr46194,,nf_138_GYPSY_1,LTR/GYPSY
1506,CR42975,mir-281-2,,nf_138_GYPSY_1,LTR/GYPSY
1507,CR42931,mir-281-1,,nf_138_GYPSY_1,LTR/GYPSY
1508,CG8439,cct5,Chaperonin containing TCP1 subunit,nf_138_GYPSY_1,LTR/GYPSY
1509,CG8862,endog,Endonuclease,nf_138_GYPSY_1,LTR/GYPSY
1510,CG10240,cyp6a22,Cytochrome P450,nf_138_GYPSY_1,LTR/GYPSY
1511,CG10241,cyp6a17,Cytochrome P450,nf_138_GYPSY_1,LTR/GYPSY
1512,CG10242,cyp6a23,Cytochrome P450,nf_23_HELITRON_1,DNA/RC
1513,CG42783,apkc,atypical protein kinase,nf_381_TIR_1,DNA/DNA
1514,CG12424,ckn,,nf_47_GYPSY_1,LTR/GYPSY
1515,CG16742,fam21,Family with sequence similarity,hAT-1_DK,DNA/HAT
1516,CG11180,cg11180,,hAT-1_DK,DNA/HAT
1517,CG9945,cg9945,,hAT-1_DK,DNA/HAT
1518,CG30147,hil,,hAT-1_DK,DNA/HAT
1519,CG13432,qsm,,nf_26_COPIA_1,LTR/COPIA
1520,CG13431,mgat1,Mannosyl (alpha-1%2C3-)-glycoprotein,nf_23_HELITRON_1,DNA/RC
1521,CG13424,lms,lateral muscles,nf_355_TIR_1,DNA/DNA
1522,CG13430,cg13430,dicistronic,nf_355_TIR_1,DNA/DNA
1523,CG18065,borcs7,BLOC-1 related complex subunit,nf_355_TIR_1,DNA/DNA
1524,CR44650,lncrna:cr44650,long non-coding,nf_23_HELITRON_1,DNA/RC
1525,CR44649,lncrna:cr44649,long non-coding,nf_10_TIR_1,DNA/DNA
1526,CR44648,lncrna:cr44648,long non-coding,nf_10_TIR_1,DNA/DNA
1527,CR44647,lncrna:cr44647,long non-coding,nf_10_TIR_1,DNA/DNA
1528,CR44646,lncrna:cr44646,long non-coding,nf_10_TIR_1,DNA/DNA
1529,CR44645,lncrna:cr44645,long non-coding,nf_10_TIR_1,DNA/DNA
1530,CR44644,lncrna:cr44644,long non-coding,nf_10_TIR_1,DNA/DNA
1531,CG12484,side-viii,sidestep,nf_381_TIR_1,DNA/DNA
1532,CG13867,med8,Mediator complex subunit,nf_10_TIR_1,DNA/DNA
1533,CG8920,tapas,,nf_10_TIR_1,DNA/DNA
1534,CG13871,cg13871,,nf_10_TIR_1,DNA/DNA
1535,CR44642,lncrna:cr44642,long non-coding,nf_10_TIR_1,DNA/DNA
1536,CG13868,cg13868,,nf_10_TIR_1,DNA/DNA
1537,CG11200,cg11200,,nf_10_TIR_1,DNA/DNA
1538,CG9143,cg9143,,nf_23_HELITRON_1,DNA/RC
1539,CG11788,cg11788,,nf_23_HELITRON_1,DNA/RC
1540,CG10444,cg10444,,nf_23_HELITRON_1,DNA/RC
1541,CG8908,cg8908,,nf_23_HELITRON_1,DNA/RC
1542,CR43812,asrna:cr43812,antisense,nf_23_HELITRON_1,DNA/RC
1543,CG8900,rps18,Ribosomal protein,nf_23_HELITRON_1,DNA/RC
1544,CG9183,plu,,nf_23_HELITRON_1,DNA/RC
1545,CG9193,pcna,Proliferating cell nuclear,nf_23_HELITRON_1,DNA/RC
1546,CG11055,hsl,Hormone-sensitive,nf_23_HELITRON_1,DNA/RC
1547,CG9204,ate1,Arginyltransferase,Jockey-1_DT,LINE/JOCKEY
1548,CG9864,cg9864,,Jockey-1_DT,LINE/JOCKEY
1549,CG11209,ppk6,pickpocket,Jockey-1_DT,LINE/JOCKEY
1550,CG11208,hacl,2-hydroxyacyl-CoA,Jockey-1_DT,LINE/JOCKEY
1551,CG11048,efhc1.2,EF-hand domain containing,nf_360_HELITRON_1,DNA/RC
1552,CG13869,cg13869,,nf_360_HELITRON_1,DNA/RC
1553,CG11099,cg11099,,nf_360_HELITRON_1,DNA/RC
1554,CR45423,lncrna:cr45423,long non-coding,nf_381_TIR_1,DNA/DNA
1555,CG11041,cg11041,,nf_86_I_1,LINE/I
1556,CR44636,lncrna:cr44636,long non-coding,nf_86_I_1,LINE/I
1557,CR44635,lncrna:cr44635,long non-coding,nf_86_I_1,LINE/I
1558,CR44634,lncrna:cr44634,long non-coding,nf_86_I_1,LINE/I
1559,CG8896,18w,18,nf_23_HELITRON_1,DNA/RC
1560,CR44633,lncrna:cr44633,long non-coding,nf_85_I_1,LINE/I
1561,CR44632,lncrna:cr44632,long non-coding,nf_23_HELITRON_1,DNA/RC
1562,CR44630,lncrna:cr44630,long non-coding,nf_26_COPIA_1,LTR/COPIA
1563,CR44629,lncrna:cr44629,long non-coding,nf_26_COPIA_1,LTR/COPIA
1564,CR44628,lncrna:cr44628,long non-coding,nf_26_COPIA_1,LTR/COPIA
1565,CR31631,trna:arg-cct-1-1,,nf_26_COPIA_1,LTR/COPIA
1566,CR33538,trna:arg-cct-1-3,,nf_26_COPIA_1,LTR/COPIA
1567,CG8654,cg8654,,nf_10_TIR_1,DNA/DNA
